FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,TIMESTAMP
1,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,0.0016705989837646484
2,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.541988372802734
3,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.583884000778198
4,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.62354302406311
5,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.66251540184021
6,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.701230525970459
7,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.739965915679932
8,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.778645753860474
9,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.8173606395721436
10,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.856110334396362
11,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.894836902618408
12,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.933635711669922
13,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.972569465637207
14,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.011256456375122
15,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.0500648021698
16,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.088803052902222
17,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.127619743347168
18,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.166524171829224
19,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.205595970153809
20,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.244390964508057
21,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.283142328262329
22,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.322031736373901
23,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.360714435577393
24,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.399675130844116
25,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.438658952713013
26,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.477730989456177
27,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.5164947509765625
28,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.555212736129761
29,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.593882083892822
30,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.632629156112671
31,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.671432256698608
32,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.710170745849609
33,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.749715328216553
34,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.788853645324707
35,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.827614068984985
36,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.866308927536011
37,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.90497899055481
38,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.943755626678467
39,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.9824793338775635
40,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.021110534667969
41,0,-4.431406237423815e-05,0.0005189743084622709,0.009944278671141485,0.4868410338630188,-2.5325552964916276,0.30884427867114145,False,0,0,0,0,6.061100959777832
42,0,0.0005216975647361507,0.0024173126351815792,0.07504860133550768,0.4899227894838345,-2.5293424693072537,0.359439669067124,False,0,0,0,0,6.099847793579102
43,0,0.0017177367964270479,0.006323340148778221,0.15914491404958916,0.4863070810575729,-2.528316053040514,0.36788983100192757,False,0,0,0,0,6.138688564300537
44,0,0.0031467619658604503,0.01369013192363592,0.2633436225823468,0.486314909040234,-2.527583897974128,0.39155512031992173,False,0,0,0,0,6.177550554275513
45,0,0.004204711502933083,0.022786918501801423,0.3373508343571451,0.486,-2.53,0.4482,False,0,0,0,0,6.216301918029785
46,0,0.00529578463916003,0.03874820845243206,0.42941637275209465,0.4868194558472528,-2.5226558411532065,0.5387489990568718,False,0,0,0,0,6.253922939300537
47,0,0.005356472364591382,0.05510747695961674,0.4993776253141586,0.487,-2.515,0.68,False,0,0,0,0,6.291828155517578
48,0,0.005355687424037543,0.07763306943227243,0.5244509352626806,0.48637943379654924,-2.5039095104559013,0.7575437797156722,False,0,0,0,0,6.329672336578369
49,0,0.007750835333689628,0.10427591023036976,0.5880715461294814,0.48453831386066015,-2.493693347606946,0.8283846635607727,False,0,0,0,0,6.367440700531006
50,0,0.011681941994225164,0.12980633440894626,0.584445030170033,0.47843316034136396,-2.4746565812127956,0.8408417131983537,False,0,0,0,0,6.4052369594573975
51,0,0.017197482994430895,0.1551827875695604,0.6179983481325864,0.47529890735460134,-2.460847505877495,0.947689631474459,False,0,0,0,0,6.443115472793579
52,0,0.024680278061810577,0.18669631427004874,0.6533989376190298,0.4712940897945715,-2.4429412252789087,0.9856907431875882,False,0,0,0,0,6.481384515762329
53,0,0.03415702250136185,0.21778485330245678,0.6932844673548348,0.4677684330080135,-2.4211727306747717,1.0318910550379319,False,0,0,0,0,6.519531965255737
54,0,0.04442700388928015,0.2486678145694797,0.7316147788818232,0.4672045455475446,-2.392678015119433,1.0650033000131822,False,0,0,0,0,6.557641267776489
55,0,0.05402391050428711,0.2759544216028939,0.766772456723788,0.4671848808644803,-2.359706875258323,1.1053790444068847,True,558,640,45,90,6.595897197723389
56,0,0.06406039588696866,0.3094762355312197,0.8086010629606286,0.46430658329140684,-2.3496287660289474,1.1287988658315409,False,0,0,0,0,6.634356260299683
57,0,0.07291565063223741,0.3384011440614093,0.8448944837713885,0.46443471285489407,-2.3166464965261104,1.1680392750107944,True,590,639,46,88,6.672404766082764
58,0,0.08423444191401921,0.37657849875167504,0.8821862782385895,0.4634119708258919,-2.2849385112501355,1.1960900462272726,False,0,0,0,0,6.711775302886963
59,0,0.09326486063725734,0.4064233930662317,0.9128381285392314,0.4610831867339376,-2.2502486756044506,1.2450454822720927,False,0,0,0,0,6.750518798828125
60,0,0.10278922082004753,0.4362042657883005,0.9370837808524878,0.4591685980125752,-2.22113913867797,1.2772979836147822,False,0,0,0,0,6.788422584533691
61,0,0.11523390647283535,0.4754007307839034,0.9675975836983114,0.4542180585776157,-2.178883299676484,1.3336768544225044,False,0,0,0,0,6.832152843475342
62,0,0.12737194022483475,0.5095621472050587,0.9531694256888463,0.447,-2.15,1.3651,False,0,0,0,0,6.87021541595459
63,0,0.1413936777620455,0.543655492402608,0.8780523508515942,0.44408918509331197,-2.107422338968962,1.2920200045678871,False,0,0,0,0,6.908336639404297
64,0,0.1568933632807841,0.5724355298879616,0.8969413236700264,0.4405213519200809,-2.0759318522013563,1.4166642804588288,False,0,0,0,0,6.946375370025635
65,0,0.1741150612721042,0.6051862578564097,0.9145597191520571,0.43981999793383886,-2.0505813731522107,1.42843788197086,False,0,0,0,0,6.984091520309448
66,0,0.1901561214194862,0.6346748748484827,0.9258379409638209,0.43663306936980933,-2.01954733828085,1.4564614539723684,False,0,0,0,0,7.02217435836792
67,0,0.2089679355387869,0.6676957698006967,0.9389225147390718,0.4362032547792348,-1.9863190748311053,1.4676893009465612,False,0,0,0,0,7.060072422027588
68,0,0.225903059033841,0.6965756380648354,0.9449623488922625,0.4349886276309663,-1.9487645025474671,1.4805556051270554,False,0,0,0,0,7.097891330718994
69,0,0.24845231151476568,0.7342516952852063,0.9589216473473222,0.4338411565137799,-1.9182128730063823,1.5002027663097774,False,0,0,0,0,7.136290073394775
70,0,0.2663093034891088,0.7635896568520191,0.9683972720504551,0.4322332071429454,-1.8792731678435128,1.5047853870710186,False,0,0,0,0,7.174421787261963
71,0,0.284801346414484,0.7927444685348921,0.9753372047153284,0.4345363146338584,-1.8443479474537097,1.5154132259774569,False,0,0,0,0,7.212850570678711
72,0,0.3078651737080761,0.8302924107722424,0.9820365058454521,0.43512881434380607,-1.7986490942832238,1.5226913196785188,False,0,0,0,0,7.2512757778167725
73,0,0.3264660084367373,0.8596075277977596,0.9857548956096808,0.43448233099064837,-1.7612633104906656,1.5382822290009621,False,0,0,0,0,7.288890838623047
74,0,0.34684847081933146,0.8928293998839676,0.9900701937357392,0.43571769685105366,-1.7317525155543663,1.5483629069037765,False,0,0,0,0,7.32685661315918
75,0,0.36524700435513674,0.9224336999552091,0.9915805416834811,0.4380409074753616,-1.6962108141292371,1.5476838327742959,False,0,0,0,0,7.365055799484253
76,0,0.38649479015430865,0.9555883846415626,0.9927208756208427,0.4403816945317137,-1.6574295084877322,1.5491441597138114,False,0,0,0,0,7.402743339538574
77,0,0.40572593681858443,0.9849384869167708,0.9959032345262855,0.43975316498615047,-1.621918690901112,1.5544823589054428,False,0,0,0,0,7.440898418426514
78,0,0.4275605403435466,1.0183809912537867,0.9951999998408377,0.4384317535292356,-1.5909662110986862,1.5539967653145523,False,0,0,0,0,7.479140281677246
79,0,0.4490029681948137,1.0517486269379197,0.995012974339179,0.44199995213938587,-1.5559387302590733,1.5524265969914433,False,0,0,0,0,7.51975417137146
80,0,0.47113706877213896,1.0852252977740968,0.9972969380865063,0.44414271368198366,-1.52199861336474,1.5517,False,0,0,0,0,7.559725522994995
81,0,0.4891361667787231,1.1150084752350167,0.995405389463219,0.44593507428082185,-1.4803757232401549,1.553979200065725,False,0,0,0,0,7.59842586517334
82,0,0.5131369937083278,1.1526552879645782,0.9998836947482452,0.44515271510712806,-1.4450013606185976,1.554745700185783,False,0,0,0,0,7.636183261871338
83,0,0.5322455066298982,1.1820029528831777,1.0004510142928036,0.4482540808571773,-1.4061636523290528,1.5586750104966585,False,0,0,0,0,7.674310922622681
84,0,0.5509273549656901,1.2111832687954358,0.9987960908085898,0.44824713553605705,-1.3702855264469276,1.5511594130373507,False,0,0,0,0,7.712105989456177
85,0,0.5720448098411194,1.244266746312186,0.999091960313252,0.450079126277295,-1.3345237516046902,1.561517190572162,False,0,0,0,0,7.750030755996704
86,0,0.5907817274748589,1.273321062633465,0.9998731325687168,0.4504369841762259,-1.2999535720125235,1.562298362827627,False,0,0,0,0,7.787912607192993
87,0,0.6152534293011892,1.31113990631355,1.0002521277489222,0.45403297138271737,-1.2499195503574565,1.5711493747669598,False,0,0,0,0,7.826128959655762
